alert_type,detail,label_options,layer,location,manual_label,manual_notes,new_commit,new_date,old_commit,old_date,pair_id,path,severity
operation_removed,Existing operation disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,PUT /meshes/{meshName}/virtualNodes,,,2019-01-25,,2018-10-01,,pair_0034,amazonaws.com:appmesh,high
operation_removed,Existing operation disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,DELETE /subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.ApiManagement/service/{serviceName}/apis/{apiId}/operations/{operationId}/policy,,,2017-03-01,,2016-10-10,,pair_0059,azure.com:apimanagement-apimapis,high
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,PersonalData.idNumber,,,2,,1,,pair_0004,adyen.com:BalancePlatformService,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,FieldLevelEncryptionProfileAlreadyExists.Message,,,2017-10-30,,2017-03-25,,pair_0037,amazonaws.com:cloudfront,low
operation_added,New operation added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,GET /2018-06-18/streaming-distribution/{Id},,,2018-06-18,,2017-10-30,,pair_0038,amazonaws.com:cloudfront,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,DescribeDBLogFilesDetails.Size,,,2013-02-12,,2013-01-10,,pair_0042,amazonaws.com:rds,low
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,LimitExceededException.Message,,,2017-01-11,,2016-05-10,,pair_0035,amazonaws.com:clouddirectory,high
operation_removed,Existing operation disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,GET /2017-10-30/distributionsByWebACLId/{WebACLId},,,2018-06-18,,2017-10-30,,pair_0038,amazonaws.com:cloudfront,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,AccountInfo.paymentAccountAge,,,46,,40,,pair_0027,adyen.com:PayoutService,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,CALocalAccountIdentification.accountNumber,,,3,,2,,pair_0033,adyen.com:TransferService,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,ProcessingTypesRestriction.value,,,2,,1,,pair_0004,adyen.com:BalancePlatformService,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,FunctionConfiguration.DeadLetterConfig,,,2015-03-31,,2014-11-11,,pair_0041,amazonaws.com:lambda,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,GetItemInput.ExpressionAttributeNames,,,2012-08-10,,2011-12-05,,pair_0040,amazonaws.com:dynamodb,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,GrpcRouteMetadataMatchMethod.exact,,,2019-01-25,,2018-10-01,,pair_0034,amazonaws.com:appmesh,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,CreateAccountHolderRequest.description,,,4,,3,,pair_0001,adyen.com:AccountService,low
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,AddEventSourceRequest.Parameters,,,2015-03-31,,2014-11-11,,pair_0041,amazonaws.com:lambda,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,EventSourceMappingConfiguration.TumblingWindowInSeconds,,,2015-03-31,,2014-11-11,,pair_0041,amazonaws.com:lambda,low
operation_added,New operation added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,GET /2018-06-18/field-level-encryption/{Id}/config,,,2018-06-18,,2017-10-30,,pair_0038,amazonaws.com:cloudfront,low
deep_enum_signature_removed,paths./#Action=CreateDomain.post.parameters[1].schema:2011-02-01,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,semantic,enum,,,2013-01-01,,2011-02-01,,pair_0039,amazonaws.com:cloudsearch,medium
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,PutFunctionEventInvokeConfigRequest.DestinationConfig,,,2015-03-31,,2014-11-11,,pair_0041,amazonaws.com:lambda,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,RefundNotPaidOutTransfersResponse.invalidFields,,,5,,3,,pair_0011,adyen.com:FundService,low
operation_removed,Existing operation disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,GET /documents/{id},,,2,,1,,pair_0004,adyen.com:BalancePlatformService,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,UpdateFunctionCodeRequest.Publish,,,2015-03-31,,2014-11-11,,pair_0041,amazonaws.com:lambda,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,MeshRef.lastUpdatedAt,,,2019-01-25,,2018-10-01,,pair_0034,amazonaws.com:appmesh,low
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,Individual.name,,,2,,1,,pair_0004,adyen.com:BalancePlatformService,high
operation_added,New operation added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,DELETE /v20190125/meshes/{meshName}/virtualNodes/{virtualNodeName},,,2019-01-25,,2018-10-01,,pair_0034,amazonaws.com:appmesh,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,BatchStatementError.Code,,,2012-08-10,,2011-12-05,,pair_0040,amazonaws.com:dynamodb,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,LatLonOptions.SortEnabled,,,2013-01-01,,2011-02-01,,pair_0039,amazonaws.com:cloudsearch,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,TransactionRuleRestrictions.timeOfDay,,,2,,1,,pair_0004,adyen.com:BalancePlatformService,low
operation_removed,Existing operation disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,GET /#Action=DescribeSynonymOptions,,,2013-01-01,,2011-02-01,,pair_0039,amazonaws.com:cloudsearch,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,CALocalAccountIdentification.accountNumber,,,3,,2,,pair_0016,adyen.com:LegalEntityService,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,Address-2.stateOrProvince,,,3,,2,,pair_0033,adyen.com:TransferService,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,AdditionalDataCarRental.carRental.checkOutDate,,,46,,40,,pair_0027,adyen.com:PayoutService,low
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,KYCCheckDataSummaryItem.itemCode,,,4,,3,,pair_0017,adyen.com:MarketPayNotificationService,high
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,FieldLevelEncryptionProfileSizeExceeded.Message,,,2018-06-18,,2017-10-30,,pair_0038,amazonaws.com:cloudfront,high
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,InvalidOrigin.Message,,,2018-06-18,,2017-10-30,,pair_0038,amazonaws.com:cloudfront,high
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,SubscriptionContract.primaryKey,,,2016-10-10,,2016-07-07,,pair_0056,azure.com:apimanagement,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,Transfer.balanceAccountId,,,2,,1,,pair_0032,adyen.com:TransferService,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,AnalysisScheme.AnalysisOptions,,,2013-01-01,,2011-02-01,,pair_0039,amazonaws.com:cloudsearch,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,GrpcGatewayRouteMatch.hostname,,,2019-01-25,,2018-10-01,,pair_0034,amazonaws.com:appmesh,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,AdditionalDataWallets.masterpass.transactionId,,,46,,40,,pair_0027,adyen.com:PayoutService,low
deep_enum_signature_removed,definitions.ApiRevisionInfoContract.properties.apiVersionSet.properties.versioningScheme:Segment|Query|Header,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,semantic,enum,,,2018-01-01,,2017-03-01,,pair_0060,azure.com:apimanagement-apimapis,medium
deep_enum_signature_removed,paths./#Action=AddSourceIdentifierToSubscription.post.parameters[1].schema:2013-09-09,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,semantic,enum,,,2014-09-01,,2013-09-09,,pair_0044,amazonaws.com:rds,medium
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,ListenerTlsCertificate.file,,,2019-01-25,,2018-10-01,,pair_0034,amazonaws.com:appmesh,low
operation_removed,Existing operation disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,GET /2016-11-25/distribution/{Id},,,2017-03-25,,2016-11-25,,pair_0036,amazonaws.com:cloudfront,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,AdditionalDataLevel23.enhancedSchemeData.dutyAmount,,,46,,40,,pair_0027,adyen.com:PayoutService,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,KYCVerificationResult.ultimateParentCompany,,,6,,5,,pair_0003,adyen.com:AccountService,low
deep_enum_signature_removed,paths./subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.ApiManagement/service/{serviceName}/apisByTags.get.responses.200.schema.properties.value.items.properties.properties.properties.api.properties.properties.properties.apiVersionSet.properties.properties.properties.versioningScheme:Segment|Query|Header,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,semantic,enum,,,2018-01-01,,2017-03-01,,pair_0060,azure.com:apimanagement-apimapis,medium
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,PaymentRequest3d.merchantRiskIndicator,,,40,,30,,pair_0024,adyen.com:PaymentService,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,EnvironmentResponse.Error,,,2015-03-31,,2014-11-11,,pair_0041,amazonaws.com:lambda,low
deep_enum_signature_removed,paths./#Action=DescribeRankExpressions.get.parameters[3].schema:2011-02-01,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,semantic,enum,,,2013-01-01,,2011-02-01,,pair_0039,amazonaws.com:cloudsearch,medium
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,InternalPartyIdentification.balanceAccountId,,,2,,1,,pair_0032,adyen.com:TransferService,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,GrantOffer.repayment,,,2,,1,,pair_0004,adyen.com:BalancePlatformService,low
operation_removed,Existing operation disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,PUT /2017-10-30/field-level-encryption/{Id}/config,,,2018-06-18,,2017-10-30,,pair_0038,amazonaws.com:cloudfront,high
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,Organization.taxExempt,,,2,,1,,pair_0004,adyen.com:BalancePlatformService,high
deep_enum_signature_removed,paths./artifacts/{artifactId}/test.put.parameters[0].schema:AVRO|PROTOBUF|PROTOBUF_FD|JSON|OPENAPI|ASYNCAPI|GRAPHQL|KCONNECT|WSDL|XSD|XML,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,semantic,enum,,,2.4.x,,1.3.2.Final,,pair_0045,apicurio.local:registry,medium
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,AdditionalData3DSecure.scaExemption,,,46,,40,,pair_0027,adyen.com:PayoutService,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,ApiRevisionContract.isCurrent,,,2018-01-01,,2017-03-01,,pair_0060,azure.com:apimanagement-apimapis,low
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,LegalEntityInfo.reference,,,2,,1,,pair_0004,adyen.com:BalancePlatformService,high
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,AccountHolderPayoutNotificationContent.amount,,,6,,5,,pair_0019,adyen.com:MarketPayNotificationService,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,UpdateItemInput.UpdateExpression,,,2012-08-10,,2011-12-05,,pair_0040,amazonaws.com:dynamodb,low
deep_enum_signature_removed,paths./#X-Amz-Target=DynamoDB_20111205.UpdateTable.post.parameters[0].schema:DynamoDB_20111205.UpdateTable,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,semantic,enum,,,2012-08-10,,2011-12-05,,pair_0040,amazonaws.com:dynamodb,medium
field_requiredness_changed,required False -> True,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,UpdateVirtualNodeOutput.virtualNode,,,2019-01-25,,2018-10-01,,pair_0034,amazonaws.com:appmesh,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,SourceAccessConfiguration.URI,,,2015-03-31,,2014-11-11,,pair_0041,amazonaws.com:lambda,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,VirtualGatewayTlsValidationContext.subjectAlternativeNames,,,2019-01-25,,2018-10-01,,pair_0034,amazonaws.com:appmesh,low
deep_enum_signature_removed,definitions.TenantLongRunningOperationResult.properties.status:InProgress|Succeeded|Failed,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,semantic,enum,,,2016-10-10,,2016-07-07,,pair_0056,azure.com:apimanagement,medium
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,GrpcRouteMatch.metadata,,,2019-01-25,,2018-10-01,,pair_0034,amazonaws.com:appmesh,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,VirtualGatewayClientPolicyTls.certificate,,,2019-01-25,,2018-10-01,,pair_0034,amazonaws.com:appmesh,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,EventSourceMappingConfiguration.MaximumBatchingWindowInSeconds,,,2015-03-31,,2014-11-11,,pair_0041,amazonaws.com:lambda,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,Error.name,,,2.4.x,,1.3.2.Final,,pair_0045,apicurio.local:registry,low
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,ServiceError.status,,,2,,1,,pair_0004,adyen.com:BalancePlatformService,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,TransferInfo.counterparty,,,2,,1,,pair_0032,adyen.com:TransferService,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,ExecuteTransactionInput.ReturnConsumedCapacity,,,2012-08-10,,2011-12-05,,pair_0040,amazonaws.com:dynamodb,low
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,IdentificationData.issuerState,,,2,,1,,pair_0004,adyen.com:BalancePlatformService,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,AddLayerVersionPermissionRequest.OrganizationId,,,2015-03-31,,2014-11-11,,pair_0041,amazonaws.com:lambda,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,UpdateContributorInsightsInput.TableName,,,2012-08-10,,2011-12-05,,pair_0040,amazonaws.com:dynamodb,low
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,Contact.address,,,2,,1,,pair_0004,adyen.com:BalancePlatformService,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,VirtualNodeHttpConnectionPool.maxConnections,,,2019-01-25,,2018-10-01,,pair_0034,amazonaws.com:appmesh,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,TooManyFieldLevelEncryptionProfiles.Message,,,2017-10-30,,2017-03-25,,pair_0037,amazonaws.com:cloudfront,low
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,KYCCheckSummary.code,,,5,,4,,pair_0002,adyen.com:AccountService,high
operation_removed,Existing operation disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,GET /#Action=DefineRankExpression,,,2013-01-01,,2011-02-01,,pair_0039,amazonaws.com:cloudsearch,high
operation_removed,Existing operation disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,GET /subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.ApiManagement/service/{serviceName}/reports/{aggregation},,,2016-10-10,,2016-07-07,,pair_0056,azure.com:apimanagement,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,CreateTableInput.StreamSpecification,,,2012-08-10,,2011-12-05,,pair_0040,amazonaws.com:dynamodb,low
operation_removed,Existing operation disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,POST /#X-Amz-Target=DynamoDB_20111205.UpdateTable,,,2012-08-10,,2011-12-05,,pair_0040,amazonaws.com:dynamodb,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,VirtualNodeRef.lastUpdatedAt,,,2019-01-25,,2018-10-01,,pair_0034,amazonaws.com:appmesh,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,CancelRequest.mpiData,,,46,,40,,pair_0025,adyen.com:PaymentService,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,ResponseAdditionalDataDeliveryAddress.deliveryAddress.city,,,46,,40,,pair_0027,adyen.com:PayoutService,low
operation_removed,Existing operation disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,GET /2017-10-30/streaming-distribution/{Id}/config,,,2018-06-18,,2017-10-30,,pair_0038,amazonaws.com:cloudfront,high
operation_added,New operation added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,GET /v20190125/meshes/{meshName}/virtualGateway/{virtualGatewayName}/gatewayRoutes/{gatewayRouteName},,,2019-01-25,,2018-10-01,,pair_0034,amazonaws.com:appmesh,low
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,OAuth2AuthorizationServerContract.resourceOwnerUsername,,,2016-10-10,,2016-07-07,,pair_0056,azure.com:apimanagement,high
operation_added,New operation added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,DELETE /2017-10-31/functions/{FunctionName}/concurrency,,,2015-03-31,,2014-11-11,,pair_0041,amazonaws.com:lambda,low
operation_added,New operation added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,PATCH /subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.ApiManagement/service/{serviceName}/apis/{apiId}/issues/{issueId},,,2018-01-01,,2017-03-01,,pair_0060,azure.com:apimanagement-apimapis,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,ListFunctionUrlConfigsResponse.FunctionUrlConfigs,,,2015-03-31,,2014-11-11,,pair_0041,amazonaws.com:lambda,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,DescribeSuggestersRequest.Deployed,,,2013-01-01,,2011-02-01,,pair_0039,amazonaws.com:cloudsearch,low
deep_enum_signature_removed,components.schemas.TransactionRule.properties.entryModes.items:barcode|chip|cof|contactless|magstripe|manual|ocr|server|unknown,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,semantic,enum,,,2,,1,,pair_0004,adyen.com:BalancePlatformService,medium
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,FieldLevelEncryptionConfigInUse.Message,,,2018-06-18,,2017-10-30,,pair_0038,amazonaws.com:cloudfront,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,PayoutRequest.additionalData,,,46,,40,,pair_0027,adyen.com:PayoutService,low
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,conditions.logAnalyticsSearchResults,,,2019-03-01,,2018-11-02-privatepreview,,pair_0051,azure.com:alertsmanagement-AlertsManagement,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,SweepCounterparty.balanceAccountId,,,2,,1,,pair_0004,adyen.com:BalancePlatformService,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,CsvOptions.Delimiter,,,2012-08-10,,2011-12-05,,pair_0040,amazonaws.com:dynamodb,low
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,ResponseAdditionalDataCommon.requestAmount,,,46,,40,,pair_0027,adyen.com:PayoutService,high
