alert_type,detail,label_options,layer,location,manual_label,manual_notes,new_commit,new_date,old_commit,old_date,pair_id,path,severity
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,UpdateFunctionCodeRequest.Publish,non_breaking,Heuristic: additive non-breaking alert layer.,2015-03-31,,2014-11-11,,pair_0041,amazonaws.com:lambda,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,MeshRef.lastUpdatedAt,non_breaking,Heuristic: additive non-breaking alert layer.,2019-01-25,,2018-10-01,,pair_0034,amazonaws.com:appmesh,low
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,Individual.name,potentially_breaking,Heuristic: compatibility-risk schema change.,2,,1,,pair_0004,adyen.com:BalancePlatformService,high
operation_added,New operation added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,DELETE /v20190125/meshes/{meshName}/virtualNodes/{virtualNodeName},non_breaking,Heuristic: additive non-breaking alert layer.,2019-01-25,,2018-10-01,,pair_0034,amazonaws.com:appmesh,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,BatchStatementError.Code,non_breaking,Heuristic: additive non-breaking alert layer.,2012-08-10,,2011-12-05,,pair_0040,amazonaws.com:dynamodb,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,LatLonOptions.SortEnabled,non_breaking,Heuristic: additive non-breaking alert layer.,2013-01-01,,2011-02-01,,pair_0039,amazonaws.com:cloudsearch,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,TransactionRuleRestrictions.timeOfDay,non_breaking,Heuristic: additive non-breaking alert layer.,2,,1,,pair_0004,adyen.com:BalancePlatformService,low
operation_removed,Existing operation disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,GET /#Action=DescribeSynonymOptions,true_breaking,Heuristic: removed operation is breaking for existing callers.,2013-01-01,,2011-02-01,,pair_0039,amazonaws.com:cloudsearch,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,CALocalAccountIdentification.accountNumber,non_breaking,Heuristic: additive non-breaking alert layer.,3,,2,,pair_0016,adyen.com:LegalEntityService,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,Address-2.stateOrProvince,non_breaking,Heuristic: additive non-breaking alert layer.,3,,2,,pair_0033,adyen.com:TransferService,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,AdditionalDataCarRental.carRental.checkOutDate,non_breaking,Heuristic: additive non-breaking alert layer.,46,,40,,pair_0027,adyen.com:PayoutService,low
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,KYCCheckDataSummaryItem.itemCode,potentially_breaking,Heuristic: compatibility-risk schema change.,4,,3,,pair_0017,adyen.com:MarketPayNotificationService,high
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,FieldLevelEncryptionProfileSizeExceeded.Message,potentially_breaking,Heuristic: compatibility-risk schema change.,2018-06-18,,2017-10-30,,pair_0038,amazonaws.com:cloudfront,high
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,InvalidOrigin.Message,potentially_breaking,Heuristic: compatibility-risk schema change.,2018-06-18,,2017-10-30,,pair_0038,amazonaws.com:cloudfront,high
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,SubscriptionContract.primaryKey,potentially_breaking,Heuristic: compatibility-risk schema change.,2016-10-10,,2016-07-07,,pair_0056,azure.com:apimanagement,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,Transfer.balanceAccountId,non_breaking,Heuristic: additive non-breaking alert layer.,2,,1,,pair_0032,adyen.com:TransferService,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,AnalysisScheme.AnalysisOptions,non_breaking,Heuristic: additive non-breaking alert layer.,2013-01-01,,2011-02-01,,pair_0039,amazonaws.com:cloudsearch,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,GrpcGatewayRouteMatch.hostname,non_breaking,Heuristic: additive non-breaking alert layer.,2019-01-25,,2018-10-01,,pair_0034,amazonaws.com:appmesh,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,AdditionalDataWallets.masterpass.transactionId,non_breaking,Heuristic: additive non-breaking alert layer.,46,,40,,pair_0027,adyen.com:PayoutService,low
deep_enum_signature_removed,definitions.ApiRevisionInfoContract.properties.apiVersionSet.properties.versioningScheme:Segment|Query|Header,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,semantic,enum,semantic_risk,Heuristic: semantic alert layer requires domain review.,2018-01-01,,2017-03-01,,pair_0060,azure.com:apimanagement-apimapis,medium
deep_enum_signature_removed,paths./#Action=AddSourceIdentifierToSubscription.post.parameters[1].schema:2013-09-09,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,semantic,enum,semantic_risk,Heuristic: semantic alert layer requires domain review.,2014-09-01,,2013-09-09,,pair_0044,amazonaws.com:rds,medium
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,ListenerTlsCertificate.file,non_breaking,Heuristic: additive non-breaking alert layer.,2019-01-25,,2018-10-01,,pair_0034,amazonaws.com:appmesh,low
operation_removed,Existing operation disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,GET /2016-11-25/distribution/{Id},true_breaking,Heuristic: removed operation is breaking for existing callers.,2017-03-25,,2016-11-25,,pair_0036,amazonaws.com:cloudfront,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,AdditionalDataLevel23.enhancedSchemeData.dutyAmount,non_breaking,Heuristic: additive non-breaking alert layer.,46,,40,,pair_0027,adyen.com:PayoutService,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,KYCVerificationResult.ultimateParentCompany,non_breaking,Heuristic: additive non-breaking alert layer.,6,,5,,pair_0003,adyen.com:AccountService,low
deep_enum_signature_removed,paths./subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.ApiManagement/service/{serviceName}/apisByTags.get.responses.200.schema.properties.value.items.properties.properties.properties.api.properties.properties.properties.apiVersionSet.properties.properties.properties.versioningScheme:Segment|Query|Header,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,semantic,enum,semantic_risk,Heuristic: semantic alert layer requires domain review.,2018-01-01,,2017-03-01,,pair_0060,azure.com:apimanagement-apimapis,medium
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,PaymentRequest3d.merchantRiskIndicator,non_breaking,Heuristic: additive non-breaking alert layer.,40,,30,,pair_0024,adyen.com:PaymentService,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,EnvironmentResponse.Error,non_breaking,Heuristic: additive non-breaking alert layer.,2015-03-31,,2014-11-11,,pair_0041,amazonaws.com:lambda,low
deep_enum_signature_removed,paths./#Action=DescribeRankExpressions.get.parameters[3].schema:2011-02-01,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,semantic,enum,semantic_risk,Heuristic: semantic alert layer requires domain review.,2013-01-01,,2011-02-01,,pair_0039,amazonaws.com:cloudsearch,medium
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,InternalPartyIdentification.balanceAccountId,potentially_breaking,Heuristic: compatibility-risk schema change.,2,,1,,pair_0032,adyen.com:TransferService,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,GrantOffer.repayment,non_breaking,Heuristic: additive non-breaking alert layer.,2,,1,,pair_0004,adyen.com:BalancePlatformService,low
operation_removed,Existing operation disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,PUT /2017-10-30/field-level-encryption/{Id}/config,true_breaking,Heuristic: removed operation is breaking for existing callers.,2018-06-18,,2017-10-30,,pair_0038,amazonaws.com:cloudfront,high
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,Organization.taxExempt,potentially_breaking,Heuristic: compatibility-risk schema change.,2,,1,,pair_0004,adyen.com:BalancePlatformService,high
deep_enum_signature_removed,paths./artifacts/{artifactId}/test.put.parameters[0].schema:AVRO|PROTOBUF|PROTOBUF_FD|JSON|OPENAPI|ASYNCAPI|GRAPHQL|KCONNECT|WSDL|XSD|XML,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,semantic,enum,semantic_risk,Heuristic: semantic alert layer requires domain review.,2.4.x,,1.3.2.Final,,pair_0045,apicurio.local:registry,medium
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,AdditionalData3DSecure.scaExemption,non_breaking,Heuristic: additive non-breaking alert layer.,46,,40,,pair_0027,adyen.com:PayoutService,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,ApiRevisionContract.isCurrent,non_breaking,Heuristic: additive non-breaking alert layer.,2018-01-01,,2017-03-01,,pair_0060,azure.com:apimanagement-apimapis,low
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,LegalEntityInfo.reference,potentially_breaking,Heuristic: compatibility-risk schema change.,2,,1,,pair_0004,adyen.com:BalancePlatformService,high
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,AccountHolderPayoutNotificationContent.amount,potentially_breaking,Heuristic: compatibility-risk schema change.,6,,5,,pair_0019,adyen.com:MarketPayNotificationService,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,UpdateItemInput.UpdateExpression,non_breaking,Heuristic: additive non-breaking alert layer.,2012-08-10,,2011-12-05,,pair_0040,amazonaws.com:dynamodb,low
deep_enum_signature_removed,paths./#X-Amz-Target=DynamoDB_20111205.UpdateTable.post.parameters[0].schema:DynamoDB_20111205.UpdateTable,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,semantic,enum,semantic_risk,Heuristic: semantic alert layer requires domain review.,2012-08-10,,2011-12-05,,pair_0040,amazonaws.com:dynamodb,medium
field_requiredness_changed,required False -> True,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,UpdateVirtualNodeOutput.virtualNode,potentially_breaking,Heuristic: compatibility-risk schema change.,2019-01-25,,2018-10-01,,pair_0034,amazonaws.com:appmesh,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,SourceAccessConfiguration.URI,non_breaking,Heuristic: additive non-breaking alert layer.,2015-03-31,,2014-11-11,,pair_0041,amazonaws.com:lambda,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,VirtualGatewayTlsValidationContext.subjectAlternativeNames,non_breaking,Heuristic: additive non-breaking alert layer.,2019-01-25,,2018-10-01,,pair_0034,amazonaws.com:appmesh,low
deep_enum_signature_removed,definitions.TenantLongRunningOperationResult.properties.status:InProgress|Succeeded|Failed,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,semantic,enum,semantic_risk,Heuristic: semantic alert layer requires domain review.,2016-10-10,,2016-07-07,,pair_0056,azure.com:apimanagement,medium
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,GrpcRouteMatch.metadata,non_breaking,Heuristic: additive non-breaking alert layer.,2019-01-25,,2018-10-01,,pair_0034,amazonaws.com:appmesh,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,VirtualGatewayClientPolicyTls.certificate,non_breaking,Heuristic: additive non-breaking alert layer.,2019-01-25,,2018-10-01,,pair_0034,amazonaws.com:appmesh,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,EventSourceMappingConfiguration.MaximumBatchingWindowInSeconds,non_breaking,Heuristic: additive non-breaking alert layer.,2015-03-31,,2014-11-11,,pair_0041,amazonaws.com:lambda,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,Error.name,non_breaking,Heuristic: additive non-breaking alert layer.,2.4.x,,1.3.2.Final,,pair_0045,apicurio.local:registry,low
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,ServiceError.status,potentially_breaking,Heuristic: compatibility-risk schema change.,2,,1,,pair_0004,adyen.com:BalancePlatformService,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,TransferInfo.counterparty,non_breaking,Heuristic: additive non-breaking alert layer.,2,,1,,pair_0032,adyen.com:TransferService,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,ExecuteTransactionInput.ReturnConsumedCapacity,non_breaking,Heuristic: additive non-breaking alert layer.,2012-08-10,,2011-12-05,,pair_0040,amazonaws.com:dynamodb,low
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,IdentificationData.issuerState,potentially_breaking,Heuristic: compatibility-risk schema change.,2,,1,,pair_0004,adyen.com:BalancePlatformService,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,AddLayerVersionPermissionRequest.OrganizationId,non_breaking,Heuristic: additive non-breaking alert layer.,2015-03-31,,2014-11-11,,pair_0041,amazonaws.com:lambda,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,UpdateContributorInsightsInput.TableName,non_breaking,Heuristic: additive non-breaking alert layer.,2012-08-10,,2011-12-05,,pair_0040,amazonaws.com:dynamodb,low
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,Contact.address,potentially_breaking,Heuristic: compatibility-risk schema change.,2,,1,,pair_0004,adyen.com:BalancePlatformService,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,VirtualNodeHttpConnectionPool.maxConnections,non_breaking,Heuristic: additive non-breaking alert layer.,2019-01-25,,2018-10-01,,pair_0034,amazonaws.com:appmesh,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,TooManyFieldLevelEncryptionProfiles.Message,non_breaking,Heuristic: additive non-breaking alert layer.,2017-10-30,,2017-03-25,,pair_0037,amazonaws.com:cloudfront,low
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,KYCCheckSummary.code,potentially_breaking,Heuristic: compatibility-risk schema change.,5,,4,,pair_0002,adyen.com:AccountService,high
operation_removed,Existing operation disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,GET /#Action=DefineRankExpression,true_breaking,Heuristic: removed operation is breaking for existing callers.,2013-01-01,,2011-02-01,,pair_0039,amazonaws.com:cloudsearch,high
operation_removed,Existing operation disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,GET /subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.ApiManagement/service/{serviceName}/reports/{aggregation},true_breaking,Heuristic: removed operation is breaking for existing callers.,2016-10-10,,2016-07-07,,pair_0056,azure.com:apimanagement,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,CreateTableInput.StreamSpecification,non_breaking,Heuristic: additive non-breaking alert layer.,2012-08-10,,2011-12-05,,pair_0040,amazonaws.com:dynamodb,low
