alerts,compatibility_alerts,new_commit,new_date,new_fields,new_operations,non_breaking_alerts,old_commit,old_date,old_fields,old_operations,pair_id,path,security_alerts,semantic_alerts
0,0,4,,48,6,0,3,,48,6,pair_0022,adyen.com:NotificationConfigurationService,0,0
24,0,30,,510,9,24,25,,488,7,pair_0023,adyen.com:PaymentService,0,0
167,0,40,,674,12,167,30,,510,9,pair_0024,adyen.com:PaymentService,0,0
8,0,46,,682,12,8,40,,674,12,pair_0025,adyen.com:PaymentService,0,0
5,0,40,,239,6,5,30,,234,6,pair_0026,adyen.com:PayoutService,0,0
364,38,46,,531,6,322,40,,239,6,pair_0027,adyen.com:PayoutService,0,4
5,0,49,,536,6,5,46,,531,6,pair_0028,adyen.com:PayoutService,0,0
55,19,25,,90,4,35,18,,69,2,pair_0029,adyen.com:RecurringService,0,1
0,0,30,,90,4,0,25,,90,4,pair_0030,adyen.com:RecurringService,0,0
19,0,40,,108,5,19,30,,90,4,pair_0031,adyen.com:RecurringService,0,0
42,17,2,,92,3,25,1,,84,3,pair_0032,adyen.com:TransferService,0,0
113,23,3,,158,3,89,2,,92,3,pair_0033,adyen.com:TransferService,0,1
491,74,2019-01-25,,476,38,412,2018-10-01,,104,19,pair_0034,amazonaws.com:appmesh,0,5
59,38,2017-01-11,,492,66,19,2016-05-10,,511,65,pair_0035,amazonaws.com:clouddirectory,0,2
65,27,2017-03-25,,317,28,33,2016-11-25,,312,27,pair_0036,amazonaws.com:cloudfront,0,5
192,31,2017-10-30,,428,45,157,2017-03-25,,317,28,pair_0037,amazonaws.com:cloudfront,0,4
175,125,2018-06-18,,349,45,46,2017-10-30,,428,45,pair_0038,amazonaws.com:cloudfront,0,4
314,87,2013-01-01,,205,52,177,2011-02-01,,123,44,pair_0039,amazonaws.com:cloudsearch,0,50
723,35,2012-08-10,,714,53,674,2011-12-05,,112,13,pair_0040,amazonaws.com:dynamodb,0,14
531,38,2015-03-31,,441,66,489,2014-11-11,,45,11,pair_0041,amazonaws.com:lambda,0,4
96,2,2013-02-12,,515,104,44,2013-01-10,,477,100,pair_0042,amazonaws.com:rds,0,50
92,0,2013-09-09,,557,104,42,2013-02-12,,515,104,pair_0043,amazonaws.com:rds,0,50
85,1,2014-09-01,,586,108,34,2013-09-09,,557,104,pair_0044,amazonaws.com:rds,0,50
185,38,2.4.x,,129,64,135,1.3.2.Final,,57,33,pair_0045,apicurio.local:registry,0,12
14,8,2017-03-31,,29,9,4,2016-07-12-preview,,33,9,pair_0046,azure.com:advisor,0,2
29,0,2017-04-19,,52,15,29,2017-03-31,,29,9,pair_0047,azure.com:advisor,0,0
18,6,2020-01-01,,59,15,12,2017-04-19,,52,15,pair_0048,azure.com:advisor,0,0
83,28,2018-05-05-preview,,103,10,47,2018-05-05,,84,10,pair_0049,azure.com:alertsmanagement-AlertsManagement,0,8
46,0,2018-11-02-privatepreview,,142,16,45,2018-05-05-preview,,103,10,pair_0050,azure.com:alertsmanagement-AlertsManagement,0,1
148,100,2019-03-01,,84,10,36,2018-11-02-privatepreview,,142,16,pair_0051,azure.com:alertsmanagement-AlertsManagement,0,12
14,0,2019-06-01,,39,6,14,2019-03-01,,26,5,pair_0052,azure.com:alertsmanagement-SmartDetectorAlertRulesApi,0,0
10,0,2017-07-14,,43,15,10,2016-05-16,,35,13,pair_0053,azure.com:analysisservices,0,0
13,0,2017-08-01,,55,16,13,2017-07-14,,43,15,pair_0054,azure.com:analysisservices,0,0
0,0,2017-08-01-beta,,55,16,0,2017-08-01,,55,16,pair_0055,azure.com:analysisservices,0,0
446,414,2016-10-10,,14,2,1,2016-07-07,,330,99,pair_0056,azure.com:apimanagement,0,31
25,6,2017-03-01,,24,6,17,2016-10-10,,14,2,pair_0057,azure.com:apimanagement,0,2
9,3,2018-01-01,,26,7,6,2017-03-01,,24,6,pair_0058,azure.com:apimanagement,0,0
173,32,2017-03-01,,115,60,135,2016-10-10,,55,17,pair_0059,azure.com:apimanagement-apimapis,0,6
57,13,2018-01-01,,130,62,29,2017-03-01,,115,60,pair_0060,azure.com:apimanagement-apimapis,0,15
